sensor ts value
/qct/qexa-20/cocos/calibration/QB1/fidelity_1qb_gates_averaged "2025-08-18 03:41:53" 9623
/qct/qexa-20/cocos/calibration/QB1/fidelity_1qb_gates_averaged "2025-08-19 03:43:48" 9596
/qct/qexa-20/cocos/calibration/QB1/fidelity_1qb_gates_averaged "2025-08-20 03:42:52" 9674
/qct/qexa-20/cocos/calibration/QB1/fidelity_1qb_gates_averaged "2025-08-21 03:41:43" 9592
/qct/qexa-20/cocos/calibration/QB1/fidelity_1qb_gates_averaged "2025-08-22 03:40:39" 9641
/qct/qexa-20/cocos/calibration/QB1/fidelity_1qb_gates_averaged "2025-08-24 03:42:13" 9626
/qct/qexa-20/cocos/calibration/QB1/fidelity_1qb_gates_averaged "2025-08-25 03:42:55" 9613
/qct/qexa-20/cocos/calibration/QB1/fidelity_1qb_gates_averaged "2025-08-26 03:44:04" 9583
/qct/qexa-20/cocos/calibration/QB1/fidelity_1qb_gates_averaged "2025-08-27 03:42:36" 9640
/qct/qexa-20/cocos/calibration/QB1/single_shot_readout_fidelity "2025-08-02 03:42:59" 8390
/qct/qexa-20/cocos/calibration/QB1/single_shot_readout_fidelity "2025-08-03 03:42:23" 8800
/qct/qexa-20/cocos/calibration/QB1/single_shot_readout_fidelity "2025-08-04 03:38:59" 8510
/qct/qexa-20/cocos/calibration/QB1/single_shot_readout_fidelity "2025-08-05 03:41:59" 8502
/qct/qexa-20/cocos/calibration/QB1/single_shot_readout_fidelity "2025-08-06 03:37:10" 8375
/qct/qexa-20/cocos/calibration/QB1/single_shot_readout_fidelity "2025-08-07 03:42:43" 8460
/qct/qexa-20/cocos/calibration/QB1/single_shot_readout_fidelity "2025-08-08 03:42:11" 8462
/qct/qexa-20/cocos/calibration/QB1/single_shot_readout_fidelity "2025-08-09 03:43:21" 8412
/qct/qexa-20/cocos/calibration/QB1/single_shot_readout_fidelity "2025-08-10 03:39:56" 8365
/qct/qexa-20/cocos/calibration/QB1/single_shot_readout_fidelity "2025-08-11 03:41:53" 8552
/qct/qexa-20/cocos/calibration/QB1/single_shot_readout_fidelity "2025-08-12 03:39:59" 8432
/qct/qexa-20/cocos/calibration/QB1/single_shot_readout_fidelity "2025-08-13 03:42:04" 8450
/qct/qexa-20/cocos/calibration/QB1/single_shot_readout_fidelity "2025-08-14 03:42:10" 8492
/qct/qexa-20/cocos/calibration/QB1/single_shot_readout_fidelity "2025-08-15 03:40:35" 8487
/qct/qexa-20/cocos/calibration/QB1/single_shot_readout_fidelity "2025-08-16 03:42:20" 8422
/qct/qexa-20/cocos/calibration/QB1/single_shot_readout_fidelity "2025-08-17 03:41:45" 8650
/qct/qexa-20/cocos/calibration/QB1/single_shot_readout_fidelity "2025-08-18 03:41:53" 8475
/qct/qexa-20/cocos/calibration/QB1/single_shot_readout_fidelity "2025-08-19 03:43:48" 8940
/qct/qexa-20/cocos/calibration/QB1/single_shot_readout_fidelity "2025-08-20 03:42:52" 8532
/qct/qexa-20/cocos/calibration/QB1/single_shot_readout_fidelity "2025-08-21 03:41:43" 8047
/qct/qexa-20/cocos/calibration/QB1/single_shot_readout_fidelity "2025-08-22 03:40:39" 8365
/qct/qexa-20/cocos/calibration/QB1/single_shot_readout_fidelity "2025-08-24 03:42:13" 8467
/qct/qexa-20/cocos/calibration/QB1/single_shot_readout_fidelity "2025-08-25 03:42:55" 8790
/qct/qexa-20/cocos/calibration/QB1/single_shot_readout_fidelity "2025-08-26 03:44:04" 8712
/qct/qexa-20/cocos/calibration/QB1/single_shot_readout_fidelity "2025-08-27 03:42:36" 8477
/qct/qexa-20/cocos/calibration/QB1/t1_time "2025-08-02 03:42:59" 6339
/qct/qexa-20/cocos/calibration/QB1/t1_time "2025-08-03 03:42:23" 19776
/qct/qexa-20/cocos/calibration/QB1/t1_time "2025-08-04 03:38:59" 6974
/qct/qexa-20/cocos/calibration/QB1/t1_time "2025-08-05 03:41:59" 5173
/qct/qexa-20/cocos/calibration/QB1/t1_time "2025-08-06 03:37:10" 4890
/qct/qexa-20/cocos/calibration/QB1/t1_time "2025-08-07 03:42:43" 5864
/qct/qexa-20/cocos/calibration/QB1/t1_time "2025-08-08 03:42:11" 6569
/qct/qexa-20/cocos/calibration/QB1/t1_time "2025-08-09 03:43:21" 5849
/qct/qexa-20/cocos/calibration/QB1/t1_time "2025-08-10 03:39:56" 6536
/qct/qexa-20/cocos/calibration/QB1/t1_time "2025-08-11 03:41:53" 4768
/qct/qexa-20/cocos/calibration/QB1/t1_time "2025-08-12 03:39:59" 6205
/qct/qexa-20/cocos/calibration/QB1/t1_time "2025-08-13 03:42:04" 5182
/qct/qexa-20/cocos/calibration/QB1/t1_time "2025-08-14 03:42:10" 6236
/qct/qexa-20/cocos/calibration/QB1/t1_time "2025-08-15 03:40:35" 3520
/qct/qexa-20/cocos/calibration/QB1/t1_time "2025-08-16 03:42:20" 5960
/qct/qexa-20/cocos/calibration/QB1/t1_time "2025-08-17 03:41:45" 5717
/qct/qexa-20/cocos/calibration/QB1/t1_time "2025-08-18 03:41:53" 6154
/qct/qexa-20/cocos/calibration/QB1/t1_time "2025-08-19 03:43:48" 13488
/qct/qexa-20/cocos/calibration/QB1/t1_time "2025-08-20 03:42:52" 6161
/qct/qexa-20/cocos/calibration/QB1/t1_time "2025-08-21 03:41:43" 3641
/qct/qexa-20/cocos/calibration/QB1/t1_time "2025-08-22 03:40:39" 3418
/qct/qexa-20/cocos/calibration/QB1/t1_time "2025-08-24 03:42:13" 6084
/qct/qexa-20/cocos/calibration/QB1/t1_time "2025-08-25 03:42:55" 16693
/qct/qexa-20/cocos/calibration/QB1/t1_time "2025-08-26 03:44:04" 9331
/qct/qexa-20/cocos/calibration/QB1/t1_time "2025-08-27 03:42:36" 3968
/qct/qexa-20/cocos/calibration/QB1/t2_echo_time "2025-08-02 03:42:59" 11126
/qct/qexa-20/cocos/calibration/QB1/t2_echo_time "2025-08-03 03:42:23" 14065
/qct/qexa-20/cocos/calibration/QB1/t2_echo_time "2025-08-04 03:38:59" 7618
/qct/qexa-20/cocos/calibration/QB1/t2_echo_time "2025-08-05 03:41:59" 8397
/qct/qexa-20/cocos/calibration/QB1/t2_echo_time "2025-08-06 03:37:10" 6883
/qct/qexa-20/cocos/calibration/QB1/t2_echo_time "2025-08-07 03:42:43" 9801
/qct/qexa-20/cocos/calibration/QB1/t2_echo_time "2025-08-08 03:42:11" 9591
/qct/qexa-20/cocos/calibration/QB1/t2_echo_time "2025-08-09 03:43:21" 7473
/qct/qexa-20/cocos/calibration/QB1/t2_echo_time "2025-08-10 03:39:56" 8279
/qct/qexa-20/cocos/calibration/QB1/t2_echo_time "2025-08-11 03:41:53" 8044
/qct/qexa-20/cocos/calibration/QB1/t2_echo_time "2025-08-12 03:39:59" 7000
/qct/qexa-20/cocos/calibration/QB1/t2_echo_time "2025-08-13 03:42:04" 9691
/qct/qexa-20/cocos/calibration/QB1/t2_echo_time "2025-08-14 03:42:10" 8904
/qct/qexa-20/cocos/calibration/QB1/t2_echo_time "2025-08-15 03:40:35" 7808
/qct/qexa-20/cocos/calibration/QB1/t2_echo_time "2025-08-16 03:42:20" 7081
/qct/qexa-20/cocos/calibration/QB1/t2_echo_time "2025-08-17 03:41:45" 10392
/qct/qexa-20/cocos/calibration/QB1/t2_echo_time "2025-08-18 03:41:53" 12322
/qct/qexa-20/cocos/calibration/QB1/t2_echo_time "2025-08-19 03:43:48" 12063
/qct/qexa-20/cocos/calibration/QB1/t2_echo_time "2025-08-20 03:42:52" 9931
/qct/qexa-20/cocos/calibration/QB1/t2_echo_time "2025-08-21 03:41:43" 6283
/qct/qexa-20/cocos/calibration/QB1/t2_echo_time "2025-08-22 03:40:39" 10141
/qct/qexa-20/cocos/calibration/QB1/t2_echo_time "2025-08-24 03:42:13" 8427
/qct/qexa-20/cocos/calibration/QB1/t2_echo_time "2025-08-25 03:42:55" 15071
/qct/qexa-20/cocos/calibration/QB1/t2_echo_time "2025-08-26 03:44:04" 13286
/qct/qexa-20/cocos/calibration/QB1/t2_echo_time "2025-08-27 03:42:36" 6195
/qct/qexa-20/cocos/calibration/QB1/t2_time "2025-08-02 03:42:59" 2666
/qct/qexa-20/cocos/calibration/QB1/t2_time "2025-08-03 03:42:23" 2876
/qct/qexa-20/cocos/calibration/QB1/t2_time "2025-08-04 03:38:59" 4151
/qct/qexa-20/cocos/calibration/QB1/t2_time "2025-08-05 03:41:59" 3948
/qct/qexa-20/cocos/calibration/QB1/t2_time "2025-08-06 03:37:10" 2933
/qct/qexa-20/cocos/calibration/QB1/t2_time "2025-08-07 03:42:43" 4098
/qct/qexa-20/cocos/calibration/QB1/t2_time "2025-08-08 03:42:11" 4161
/qct/qexa-20/cocos/calibration/QB1/t2_time "2025-08-09 03:43:21" 3548
/qct/qexa-20/cocos/calibration/QB1/t2_time "2025-08-10 03:39:56" 2776
/qct/qexa-20/cocos/calibration/QB1/t2_time "2025-08-11 03:41:53" 4030
/qct/qexa-20/cocos/calibration/QB1/t2_time "2025-08-12 03:39:59" 3755
/qct/qexa-20/cocos/calibration/QB1/t2_time "2025-08-13 03:42:04" 3288
