fidelity_weight,baseline,agreement_rate,regret_mean,regret_median,regret_max,zero_regret_pct
0.00,oracle,0.332030,0.032225,0.003961,0.285995,0.332030
0.00,gt_weighted,1.000000,0.000000,0.000000,0.000000,1.000000
0.30,oracle,0.525975,0.011423,0.000000,0.227534,0.526171
0.30,gt_weighted,0.681239,0.003198,0.000000,0.227534,0.683984
0.50,oracle,0.571653,0.008410,0.000000,0.223178,0.571849
0.50,gt_weighted,0.728289,0.002663,0.000000,0.223178,0.733778
0.70,oracle,0.614781,0.005620,0.000000,0.223178,0.614977
0.70,gt_weighted,0.775926,0.002406,0.000000,0.223178,0.782004
1.00,oracle,0.803764,0.002154,0.000000,0.330645,0.803764
1.00,gt_weighted,0.803764,0.002154,0.000000,0.330645,0.803764
