fidelity_weight,baseline,agreement_rate,regret_mean,regret_median,regret_max,zero_regret_pct
0.00,oracle,0.332030,0.032225,0.003961,0.285995,0.332030
0.00,gt_weighted,1.000000,0.000000,0.000000,0.000000,1.000000
0.10,oracle,0.476377,0.015570,0.000000,0.264974,0.476573
0.10,gt_weighted,0.617918,0.003439,0.000000,0.264974,0.625956
0.20,oracle,0.504607,0.013014,0.000000,0.228043,0.504803
0.20,gt_weighted,0.659675,0.003197,0.000000,0.227199,0.666928
0.30,oracle,0.525975,0.011423,0.000000,0.227534,0.526171
0.30,gt_weighted,0.681239,0.003198,0.000000,0.227534,0.683984
0.40,oracle,0.548716,0.009759,0.000000,0.228043,0.548912
0.40,gt_weighted,0.707116,0.002885,0.000000,0.223178,0.710841
0.50,oracle,0.571653,0.008410,0.000000,0.223178,0.571849
0.50,gt_weighted,0.728289,0.002663,0.000000,0.223178,0.733778
0.60,oracle,0.592629,0.006995,0.000000,0.223178,0.592825
0.60,gt_weighted,0.746912,0.002554,0.000000,0.223178,0.752794
0.70,oracle,0.614781,0.005620,0.000000,0.223178,0.614977
0.70,gt_weighted,0.775926,0.002406,0.000000,0.223178,0.782004
0.80,oracle,0.653205,0.004320,0.000000,0.223178,0.653401
0.80,gt_weighted,0.794550,0.002263,0.000000,0.223178,0.800039
0.90,oracle,0.706724,0.003018,0.000000,0.223178,0.706724
0.90,gt_weighted,0.795530,0.002025,0.000000,0.223178,0.801019
1.00,oracle,0.803764,0.002154,0.000000,0.330645,0.803764
1.00,gt_weighted,0.803764,0.002154,0.000000,0.330645,0.803764
